run,car,bike,bus,cycle,walk,electricity,water,recycling,plastic
102,35.06,36.06,25.73,18.18,5.7,4.99,426.05,often,4
103,31.07,33.01,49.71,14.47,4.15,5.18,435.32,sometimes,0
104,34.07,29.72,43.35,21.34,4.73,7.3,201.91,often,3
105,28.36,35.19,32.49,22.36,5.41,7.05,110.01,sometimes,3
106,33.14,34.98,46.24,31.9,3.92,3.33,391.56,sometimes,9
107,29.12,34.12,25.85,32.88,6.87,5.85,321.69,sometimes,0
108,30.22,33.11,37.3,24.51,3.68,7.09,365.05,often,8
109,29.18,26.29,25.96,23.78,7.9,7.31,166.81,often,5
110,30.61,34.59,41.52,24.89,6.7,6.85,453.56,often,3
111,31.92,31.71,45.01,23.68,9.58,7.38,411.21,sometimes,0
112,35.31,30.98,40.35,21.55,6.23,8.44,266.78,sometimes,4
113,30.96,41.99,54.82,18.96,4.48,7.5,378.09,often,0
114,34.1,35.92,37.94,21.55,4.94,5.35,418.08,always,9
115,31.66,36.02,26.08,15.96,7.46,4.18,476.88,always,5
116,28.97,32.87,46.7,25.11,6.49,4.7,386.46,often,5
117,24.32,33.96,43.13,37.86,6.47,7.38,324.07,never,0
118,33.43,34.26,53.32,24.96,5.9,8.87,246.06,often,5
119,29.2,36.05,26.81,21.53,6.62,8.22,540.02,often,7
120,30.04,28.19,44.94,36.02,5.33,6.23,324.64,often,0
121,25.26,41.46,44.24,20.99,9.18,5.11,340.55,sometimes,3
122,27.99,37.39,35.54,27.92,6.31,5.9,404.65,often,4
123,31.02,38.15,42.11,14.06,7.77,6.81,172.63,never,3
124,24.86,36.75,44.67,20.12,6.79,3.42,310.05,often,5
125,25.61,34.56,39.08,21.82,5.44,6.19,280.04,often,7
126,29.43,37.18,26.52,23.18,3.85,4.88,234.81,often,4
127,32.04,36.78,33.45,17.48,3.92,5.08,162.01,sometimes,7
128,32.53,42.93,39.89,13.07,7.07,7.67,253.77,often,3
129,33.69,35.89,23.76,18.76,4.22,2.7,130.75,often,4
130,35.9,37.97,44.98,12.68,4.25,4.84,311.73,sometimes,0
131,35.91,34.9,50.46,28.0,9.61,6.27,404.96,often,3
132,31.12,43.17,31.83,21.57,7.47,8.68,353.12,often,0
133,28.41,35.61,55.65,36.37,3.95,7.04,160.26,often,5
134,30.84,37.63,36.37,29.73,5.11,7.62,286.39,sometimes,7
135,25.68,33.68,40.12,28.76,2.9,6.78,378.33,often,10
136,30.88,38.02,37.07,19.68,2.65,4.68,341.26,sometimes,3
137,30.36,30.45,48.36,18.52,4.35,10.46,534.45,often,1
138,37.92,34.78,41.31,39.74,3.37,6.25,354.17,sometimes,6
139,28.03,34.18,37.79,30.84,4.8,2.53,340.71,sometimes,4
140,32.37,35.43,33.62,26.82,6.47,4.22,181.58,sometimes,4
141,21.34,36.3,37.84,32.04,7.43,6.92,361.28,often,3
142,39.27,30.37,43.24,25.73,8.71,3.81,281.48,sometimes,0
143,28.29,38.19,32.12,24.93,6.36,7.1,247.22,often,9
144,34.71,37.62,51.0,12.87,5.06,5.25,268.97,never,5
145,28.43,30.96,32.62,20.83,3.92,7.62,148.07,sometimes,1
146,28.5,28.17,38.76,14.99,5.07,5.98,290.35,often,3
147,38.94,30.89,52.23,31.53,3.23,6.46,340.73,always,3
148,30.0,29.7,39.65,30.34,7.08,8.6,370.17,often,3
149,27.04,37.96,44.15,23.54,5.22,4.35,221.5,often,8
150,32.23,33.27,46.26,18.18,5.42,4.54,339.84,often,2
151,29.57,30.93,47.35,23.1,8.32,4.23,198.09,never,3
152,28.26,30.36,24.77,26.96,5.86,10.27,84.33,often,6
153,28.75,38.21,24.32,23.89,7.09,5.13,198.62,often,5
154,34.75,36.99,49.56,15.13,6.41,4.63,117.41,always,2
155,22.01,38.53,27.87,20.25,3.52,7.07,383.14,sometimes,4
156,25.59,39.62,49.16,28.93,4.76,5.26,210.34,never,3
157,36.89,39.2,38.38,31.93,6.79,7.42,398.63,sometimes,3
158,34.57,26.01,38.18,20.39,5.21,6.86,273.41,sometimes,1
159,24.94,43.8,50.6,27.69,4.8,3.33,143.36,sometimes,6
160,36.69,34.76,44.51,22.0,7.29,2.86,114.88,sometimes,6
161,30.94,34.92,27.95,22.94,6.07,6.41,445.47,sometimes,0
162,29.15,35.22,28.68,16.75,5.05,4.68,423.12,sometimes,8
163,29.41,36.5,40.99,37.08,7.34,7.06,265.29,often,0
164,22.29,43.19,37.52,25.12,3.31,5.56,384.42,sometimes,8
165,29.62,30.82,45.21,22.23,5.49,7.79,356.57,often,3
166,37.11,33.21,43.14,14.77,6.34,5.52,114.06,often,0
167,20.91,40.41,48.52,28.61,4.87,4.44,264.74,often,4
168,32.41,33.35,49.38,19.72,8.42,7.83,330.71,sometimes,3
169,30.79,36.41,39.91,24.27,3.55,5.01,212.02,always,5
170,30.02,38.22,22.67,23.17,4.62,8.14,386.48,sometimes,4
171,28.44,39.23,29.36,13.51,2.55,4.97,387.62,sometimes,4
172,24.68,34.46,21.24,21.93,5.84,1.9,408.27,often,7
173,32.9,33.61,36.86,21.1,3.81,7.61,291.8,often,2
174,31.09,29.14,42.85,32.37,4.75,7.74,284.33,always,4
175,29.88,35.91,23.97,19.9,4.91,6.24,306.78,often,8
176,24.66,40.38,32.28,27.31,6.33,8.15,320.17,always,3
177,30.84,36.27,34.92,17.75,3.19,7.42,168.34,never,4
178,34.14,34.36,38.26,24.52,5.05,8.48,317.1,often,1
179,30.59,38.07,31.41,21.67,8.84,10.77,272.92,sometimes,4
180,24.11,40.49,26.43,33.59,8.0,7.48,292.41,sometimes,6
181,33.62,35.17,33.04,24.38,5.72,8.9,250.1,sometimes,5
182,22.13,28.63,40.91,25.81,6.1,6.7,95.27,sometimes,0
183,28.86,38.58,23.67,17.6,4.59,2.02,439.83,often,2
184,30.08,41.2,25.5,39.16,3.28,5.55,325.15,sometimes,5
185,35.19,42.84,42.57,22.48,6.61,8.18,527.29,always,1
186,29.98,31.27,34.5,20.13,5.14,10.0,216.06,sometimes,0
187,32.3,26.72,58.99,34.75,5.15,6.14,255.18,often,4
188,29.54,39.26,29.94,13.78,8.78,5.11,488.63,often,6
189,35.81,33.95,38.35,17.38,6.07,3.18,222.81,often,3
190,33.06,33.71,31.78,20.17,4.15,5.99,349.96,always,0
191,24.38,42.41,29.51,23.57,4.76,9.09,272.48,always,6
192,25.89,34.28,44.32,16.7,4.1,7.68,252.38,always,4
193,29.53,39.0,40.04,19.79,7.69,5.83,253.57,often,2
194,22.91,33.89,38.69,22.56,7.02,8.03,306.06,always,9
195,29.89,33.38,46.16,23.01,3.86,6.68,331.7,sometimes,6
196,24.68,35.75,37.39,18.29,6.13,6.53,173.64,sometimes,6
197,29.01,37.77,26.75,25.81,8.9,4.83,152.95,sometimes,7
198,29.38,35.87,33.87,32.5,7.29,4.83,353.9,never,2
199,37.13,28.17,33.25,28.89,4.96,6.55,442.78,sometimes,0
200,30.95,26.55,26.27,24.35,5.48,4.33,196.93,never,3
201,30.38,30.58,56.83,33.04,5.45,9.56,335.04,always,7
202,31.34,32.25,34.74,12.37,4.41,6.24,288.89,sometimes,7
203,26.52,32.0,35.91,16.64,3.51,2.56,364.29,never,1
204,32.86,28.6,48.88,25.69,5.53,5.84,271.98,often,6
205,34.52,32.69,30.36,22.73,6.02,2.98,370.79,never,0
206,31.79,37.49,33.61,26.75,3.88,7.81,513.88,always,0
207,27.81,39.45,34.56,11.57,6.71,5.33,196.1,never,0
208,31.09,31.25,30.53,27.78,3.86,6.57,181.4,often,7
209,25.93,35.9,30.13,28.49,5.26,8.32,397.57,always,0
210,28.56,32.78,37.53,32.06,4.94,9.18,134.23,often,6
211,34.45,31.59,47.08,23.02,5.11,4.99,256.81,often,4
212,27.52,33.71,33.54,23.87,6.57,6.56,84.49,sometimes,4
213,24.46,36.42,36.82,18.2,3.71,4.18,307.98,often,5
214,28.69,26.47,41.15,16.29,6.29,7.01,487.59,never,5
215,31.08,36.33,40.97,25.35,4.42,5.11,223.31,sometimes,5
216,29.77,31.01,37.43,23.83,5.59,8.4,106.59,sometimes,8
217,35.08,32.41,39.97,34.96,5.69,8.26,172.61,sometimes,6
218,24.43,35.53,47.21,21.88,4.71,7.16,200.83,always,0
219,34.14,26.42,42.22,30.97,6.1,5.2,161.61,never,6
220,23.98,36.29,39.82,25.27,8.67,6.26,527.08,often,4
221,32.96,33.7,38.89,27.5,5.06,9.48,196.18,sometimes,6
222,31.1,33.42,55.75,11.89,7.01,5.7,431.4,never,8
223,31.28,35.3,34.11,20.97,3.88,3.41,361.07,often,5
224,21.82,31.69,51.5,29.09,8.48,5.0,218.99,often,2
225,33.49,33.06,39.84,21.44,5.42,6.46,391.64,sometimes,8
226,25.89,36.5,34.79,18.13,9.58,6.32,217.38,sometimes,0
227,32.34,36.79,51.16,36.57,6.09,7.25,480.88,often,2
228,28.19,29.96,56.93,25.31,2.6,5.56,341.14,sometimes,0
229,24.78,36.99,27.91,22.34,4.79,8.63,319.49,sometimes,5
230,33.95,39.93,42.73,22.81,5.38,8.67,227.63,sometimes,1
231,22.88,35.66,46.16,11.91,6.94,6.48,391.82,sometimes,0
232,25.54,28.95,32.76,17.42,2.89,7.04,385.09,often,3
233,29.34,32.2,38.89,28.24,3.38,5.15,206.94,sometimes,6
234,28.47,34.37,43.99,20.73,4.46,9.8,285.34,sometimes,3
235,32.48,37.08,45.57,18.58,5.36,8.19,354.61,sometimes,4
236,24.76,39.5,38.8,19.85,6.81,4.32,389.42,sometimes,6
237,35.37,33.14,27.21,19.66,6.33,7.26,264.16,often,11
238,27.79,32.75,43.03,28.47,6.83,8.84,242.5,often,2
239,30.76,39.6,46.74,23.19,5.52,6.08,264.35,often,5
240,26.46,37.64,53.12,25.4,6.89,6.02,133.96,often,6
241,33.82,30.59,52.12,27.41,5.38,8.6,174.53,often,0
242,28.16,33.68,34.7,24.99,7.4,4.67,427.13,sometimes,4
243,39.14,31.54,40.19,23.92,6.49,5.45,289.85,often,6
244,37.78,41.48,44.41,20.96,3.62,8.09,267.75,often,3
245,34.23,38.14,36.3,31.51,5.17,7.15,289.85,never,3
246,28.53,36.62,26.68,28.41,3.96,5.76,514.83,always,4
247,27.28,36.87,54.77,22.75,5.39,4.03,305.03,sometimes,1
248,25.15,42.01,37.28,16.4,4.45,7.64,467.71,sometimes,3
249,33.14,35.7,22.96,16.89,4.55,4.44,388.34,sometimes,4
250,28.01,40.36,38.66,14.47,6.55,7.67,386.56,often,6
251,25.61,32.94,56.01,21.79,7.54,3.92,228.69,often,3
252,24.76,36.08,42.04,22.79,8.73,4.6,179.4,often,4
253,24.09,33.79,35.09,29.48,2.53,5.36,128.68,often,6
254,36.52,36.35,57.05,29.45,7.71,5.96,173.28,always,5
255,30.38,40.12,53.56,20.0,5.17,3.95,310.03,often,0
256,38.22,36.11,37.11,18.59,7.1,7.19,475.39,sometimes,4
257,25.99,33.73,48.86,20.08,5.83,5.71,239.13,sometimes,0
258,33.36,39.99,42.64,27.06,2.4,4.8,250.47,often,4
259,33.11,37.97,40.03,24.66,7.69,5.44,435.3,often,6
260,38.56,32.56,43.22,38.02,3.33,9.33,222.96,sometimes,5
261,30.49,37.7,42.64,23.88,4.18,4.8,227.87,often,5
262,28.69,39.34,38.9,25.74,4.95,4.24,396.39,always,5
263,29.79,33.03,40.91,18.12,3.67,8.37,381.13,always,3
264,31.47,33.38,41.68,25.82,6.62,4.77,91.66,sometimes,10
265,28.87,35.05,46.87,22.44,6.15,9.09,522.38,never,7
266,24.97,41.15,28.79,11.45,7.53,5.48,401.76,sometimes,7
267,34.38,35.54,42.12,17.3,6.29,7.55,506.69,sometimes,7
268,29.26,35.62,27.64,28.38,4.86,8.77,191.51,never,6
269,32.78,41.7,44.45,27.92,6.06,6.74,130.09,sometimes,6
270,28.85,33.37,43.68,13.87,5.23,5.88,122.42,sometimes,8
271,21.43,43.91,36.99,17.17,6.81,7.57,447.53,often,6
272,33.81,41.59,28.74,12.57,4.24,6.86,527.65,sometimes,7
273,31.56,38.61,41.99,15.24,3.82,6.63,202.97,sometimes,6
274,25.48,35.88,54.65,23.46,6.23,7.44,333.59,often,7
275,36.14,38.13,39.35,12.42,2.39,6.73,196.47,sometimes,13
276,24.2,37.01,49.22,25.77,6.25,6.66,169.27,sometimes,4
277,30.75,40.6,41.68,30.0,5.97,4.19,379.49,never,5
278,37.22,34.94,53.87,32.81,5.93,6.25,198.65,often,2
279,32.31,39.4,39.39,24.05,4.79,4.74,474.05,always,6
280,33.89,26.57,46.33,23.8,5.45,3.82,258.58,often,0
281,27.19,31.15,33.63,38.85,3.15,7.66,140.09,never,5
282,25.46,36.33,36.84,22.29,2.84,3.5,229.48,often,4
283,28.62,38.78,38.99,35.16,6.72,7.18,172.04,sometimes,5
284,29.82,32.9,31.09,21.91,3.9,2.47,501.11,often,5
285,24.71,27.35,40.21,23.11,6.59,9.21,461.33,sometimes,4
286,33.7,29.94,21.61,28.47,8.37,6.76,412.23,sometimes,5
287,35.24,30.22,47.02,18.17,5.32,4.16,487.92,often,0
288,24.08,32.83,34.51,30.92,4.52,4.89,486.52,sometimes,3
289,31.49,36.28,40.4,16.15,5.08,8.52,283.56,sometimes,5
290,37.02,36.28,35.42,20.27,3.89,7.38,222.2,often,3
291,29.18,33.9,31.51,32.37,7.67,7.73,244.47,never,3
292,26.0,30.64,48.85,19.25,2.83,7.0,215.24,often,4
293,30.66,35.84,45.62,28.27,8.07,5.44,217.5,sometimes,6
294,31.88,36.9,50.14,19.05,5.56,2.69,310.17,sometimes,3
295,38.93,30.04,40.4,12.41,4.41,6.0,209.35,often,5
296,34.13,27.29,47.17,31.1,4.23,6.04,218.4,often,5
297,35.01,26.88,30.44,17.11,5.83,9.57,486.94,often,0
298,27.65,32.62,33.6,20.41,7.33,5.6,386.2,often,6
299,29.63,27.08,25.04,18.02,5.16,4.05,259.1,never,0
300,30.46,27.09,23.56,21.05,4.18,5.73,455.92,sometimes,3
301,31.77,37.97,53.06,25.17,4.89,9.02,400.14,sometimes,4
302,31.52,34.7,46.45,13.02,7.51,6.15,488.91,never,0
303,25.86,34.99,27.86,24.58,3.57,8.5,153.62,always,0
304,24.7,30.39,25.6,24.42,7.92,7.07,373.12,often,2
305,29.27,33.13,45.2,30.27,5.41,6.14,301.61,sometimes,4
306,28.0,38.32,23.88,36.78,7.08,5.29,515.28,often,0
307,38.63,36.36,41.14,31.94,5.56,2.47,334.01,sometimes,5
308,21.93,29.79,46.31,20.65,6.21,7.86,296.16,never,7
309,28.97,39.22,41.12,21.92,6.83,3.8,303.81,sometimes,5
310,24.54,29.15,42.94,15.07,6.09,4.09,239.56,sometimes,8
311,32.98,36.67,54.08,19.76,3.58,4.85,118.91,sometimes,5
312,35.67,40.15,46.61,13.94,5.06,5.18,126.44,sometimes,0
313,37.19,29.22,41.49,13.13,5.3,5.03,220.25,sometimes,6
314,24.98,30.93,53.14,19.63,4.85,5.85,505.08,always,5
315,32.03,33.39,46.65,17.87,5.07,4.67,165.08,often,5
316,28.63,33.07,35.85,13.65,6.54,6.1,178.27,often,6
317,35.86,32.28,40.31,23.3,6.76,3.78,106.26,often,5
318,32.58,37.29,40.44,24.88,5.29,8.05,328.59,often,2
319,31.4,34.56,44.74,14.74,7.99,4.88,263.27,often,0
320,23.25,27.78,32.4,35.15,4.38,6.34,100.28,sometimes,3
321,31.84,30.2,46.12,29.41,7.92,2.88,340.48,sometimes,3
322,31.62,39.44,58.05,30.29,3.0,4.9,242.56,sometimes,3
323,26.04,32.76,46.36,22.09,3.41,4.85,322.32,sometimes,6
324,36.4,34.3,43.84,17.14,5.37,7.14,329.28,often,3
325,30.44,38.99,37.9,27.05,5.58,6.54,246.45,sometimes,4
326,32.78,36.46,51.89,23.37,7.13,5.77,266.6,always,7
327,26.6,35.44,46.55,27.61,5.38,8.62,403.68,sometimes,7
328,29.12,31.15,32.11,15.74,4.56,4.96,430.63,always,1
329,27.71,36.75,37.51,23.68,7.49,4.26,344.67,often,6
330,32.83,39.84,56.54,19.77,4.39,10.25,260.41,never,4
331,24.27,36.59,33.67,27.47,8.76,6.81,555.43,sometimes,0
332,28.41,28.28,28.99,36.65,5.38,4.72,527.51,sometimes,6
333,28.26,38.53,54.11,32.7,7.55,6.02,181.94,often,0
334,30.75,32.32,38.68,22.92,3.18,2.74,561.77,often,4
335,32.88,43.49,52.39,25.97,8.59,4.37,476.61,often,7
336,27.33,38.62,39.56,25.53,7.37,5.4,221.94,often,8
337,31.68,33.76,42.51,36.68,5.6,7.43,156.99,often,4
338,22.9,40.03,29.98,34.3,6.45,8.6,188.03,sometimes,3
339,27.25,40.76,46.24,15.64,4.91,6.24,128.07,often,3
340,27.84,34.94,30.18,31.58,4.79,3.61,251.01,sometimes,2
341,29.59,33.17,42.1,34.05,5.6,5.63,361.31,always,2
342,28.1,31.02,37.34,25.02,5.48,9.93,282.74,sometimes,6
343,29.83,38.61,34.26,21.13,3.78,4.45,126.47,never,8
344,23.5,28.92,35.47,17.75,8.58,5.89,279.23,always,5
345,33.79,39.43,44.33,19.59,4.94,4.58,518.17,always,10
346,23.88,34.42,51.12,30.77,4.74,5.89,202.19,often,0
347,38.36,34.17,39.29,23.82,4.55,3.94,333.11,often,5
348,35.09,32.56,54.5,31.5,5.41,5.35,202.05,often,5
349,26.59,39.9,45.74,24.34,5.06,6.06,497.1,sometimes,6
350,34.99,39.5,45.21,18.63,2.83,8.6,110.88,always,0
351,30.0,39.92,32.87,19.49,3.8,6.65,413.36,sometimes,5
352,26.62,31.14,30.18,24.44,3.24,4.15,288.19,often,9
353,33.46,29.23,50.33,25.29,7.11,6.22,228.53,often,9
354,30.98,35.73,38.71,17.42,5.07,6.19,174.71,often,7
355,30.96,33.54,37.75,16.32,7.06,8.48,519.88,always,2
356,33.31,42.08,46.57,33.68,4.45,6.14,147.26,often,4
357,34.35,36.59,33.45,19.31,6.73,4.73,385.3,sometimes,4
358,26.91,42.31,32.34,32.79,3.23,7.21,441.21,always,2
359,28.49,32.75,38.7,23.98,5.86,6.82,304.08,sometimes,0
360,25.42,30.34,36.44,21.56,3.26,2.76,241.34,never,8
361,35.63,34.32,41.53,25.63,6.19,7.07,150.85,sometimes,5
362,30.73,32.65,44.02,27.77,5.37,4.38,491.22,often,3
363,29.98,33.13,33.77,18.39,5.09,8.5,237.15,often,7
364,30.17,34.02,29.87,33.28,2.85,4.99,443.33,sometimes,0
365,29.1,34.73,43.47,24.01,3.59,7.49,322.87,often,6
366,32.23,35.64,37.33,19.92,5.37,8.65,448.68,never,0
367,29.69,29.52,34.57,27.75,4.57,7.46,509.96,sometimes,5
368,21.39,30.89,33.02,22.65,4.86,4.99,202.88,sometimes,2
369,33.74,35.49,36.36,20.74,6.59,5.71,341.37,always,1
370,36.72,30.79,36.97,19.5,4.67,2.61,198.66,sometimes,4
371,35.66,33.91,41.3,19.8,5.14,8.32,178.53,sometimes,0
372,21.49,31.35,33.68,24.01,3.97,7.03,163.58,always,7
373,29.06,31.57,37.62,14.54,7.5,7.14,267.57,sometimes,8
374,34.55,37.86,40.09,21.48,6.39,6.99,285.55,sometimes,5
375,31.09,35.01,43.91,31.74,6.44,6.84,288.55,often,0
376,28.62,34.64,45.73,22.69,2.69,6.93,263.96,often,6
377,27.38,35.55,35.02,15.09,5.44,8.77,461.13,often,4
378,36.16,34.33,26.83,22.38,6.41,4.17,230.06,often,6
379,30.19,36.01,31.12,19.25,4.46,8.1,135.07,sometimes,2
380,32.58,32.31,30.3,20.96,4.88,2.62,328.89,sometimes,3
381,36.13,36.41,36.03,17.36,5.21,4.68,225.08,always,6
382,25.05,29.35,31.38,23.02,4.58,10.08,278.05,always,0
383,24.93,37.56,46.05,23.12,3.62,3.6,247.82,always,4
384,35.17,34.64,38.15,19.17,6.77,4.3,497.99,sometimes,4
385,36.52,30.59,43.23,21.55,6.37,6.33,354.74,always,5
386,31.9,35.42,27.59,24.36,3.53,7.21,425.32,often,7
387,34.88,37.16,35.94,25.75,5.32,8.06,177.13,often,4
388,36.19,40.61,39.22,20.22,6.13,7.41,170.99,sometimes,2
389,31.76,28.75,39.29,20.3,3.24,7.74,299.73,often,7
390,30.21,34.77,32.01,21.22,8.58,4.51,494.58,sometimes,6
391,28.92,34.44,44.11,25.73,5.77,7.86,437.19,sometimes,1
392,28.16,30.3,22.82,23.36,7.76,4.83,418.85,often,6
393,29.05,38.42,30.53,21.6,9.42,7.61,253.55,sometimes,6
394,24.33,32.69,49.5,24.49,7.59,6.24,281.82,often,7
395,26.72,36.12,41.19,14.03,3.04,8.47,207.1,sometimes,8
396,29.89,34.14,42.82,30.8,7.31,7.72,235.98,sometimes,5
