run,eco_score,transport_score,electricity_score,water_score,recycling_score,plastic_score,level,transport_impact
59,43.65,40.58,26.68,32.38,66.67,52.99,Improving,178.48
60,60.82,42.18,57.87,57.65,100.0,52.99,Eco-Friendly,176.18
61,49.63,54.54,35.27,83.39,33.33,46.93,Improving,162.28
62,50.56,42.0,44.1,39.69,66.67,65.68,Improving,176.4
63,42.37,29.8,57.74,54.54,33.33,46.93,Improving,192.1
64,46.7,48.49,68.08,32.22,33.33,46.93,Improving,169.22
65,55.06,43.48,79.15,38.77,66.67,46.93,Improving,174.78
66,55.25,74.25,35.27,43.15,66.67,40.76,Improving,137.99
67,29.38,24.57,56.64,55.54,0.0,15.64,Beginner,198.85
68,45.85,53.18,27.64,52.34,33.33,65.68,Improving,163.78
69,59.53,59.6,69.84,93.17,33.33,46.93,Improving,155.9
70,52.81,63.85,51.13,52.68,33.33,59.1,Improving,151.31
71,51.24,48.91,54.46,61.03,33.33,65.68,Improving,168.48
72,58.49,75.92,64.79,60.35,33.33,46.93,Improving,135.68
73,53.59,59.79,52.61,37.9,66.67,40.76,Improving,155.55
74,47.63,38.82,24.57,65.23,66.67,52.99,Improving,180.52
75,46.72,50.9,52.65,3.65,66.67,46.93,Improving,166.16
76,38.2,49.4,26.29,54.39,33.33,22.01,Beginner,167.81
77,43.85,74.39,35.98,35.51,33.33,15.64,Improving,137.96
78,46.29,57.61,43.19,38.37,33.33,52.99,Improving,158.48
79,34.86,30.6,61.84,41.83,0.0,46.93,Beginner,191.55
80,56.22,47.43,41.87,37.8,100.0,52.99,Improving,170.24
81,59.63,41.03,74.67,49.17,100.0,33.38,Improving,177.75
82,62.9,73.84,51.05,42.05,100.0,28.19,Eco-Friendly,139.03
83,27.51,12.32,38.26,41.3,33.33,22.01,Beginner,209.28
84,56.28,61.23,44.46,38.87,66.67,65.68,Improving,154.19
85,43.6,41.21,56.11,25.75,33.33,63.22,Improving,177.62
86,68.13,70.11,57.06,45.46,100.0,59.1,Eco-Friendly,144.06
87,51.68,54.98,71.7,41.57,33.33,52.99,Improving,161.83
88,40.38,32.96,46.7,23.91,66.67,28.19,Improving,188.12
89,63.1,56.39,78.9,66.83,66.67,46.93,Eco-Friendly,159.6
90,44.88,56.93,32.38,50.83,33.33,46.93,Improving,159.22
91,41.08,41.74,60.31,69.22,0.0,40.76,Improving,177.0
92,54.62,46.93,65.74,28.08,66.67,65.68,Improving,171.04
93,36.57,48.3,29.32,67.33,0.0,40.76,Beginner,169.38
94,70.29,69.57,63.96,45.14,100.0,65.68,Eco-Friendly,144.8
95,50.19,48.19,25.03,62.95,66.67,52.99,Improving,169.44
96,60.63,51.47,49.81,60.74,100.0,40.76,Eco-Friendly,165.61
97,50.61,37.54,62.57,68.8,33.33,65.68,Improving,182.59
98,56.91,76.99,60.55,33.8,66.67,22.01,Improving,134.97
99,30.7,18.2,32.45,47.16,33.33,33.38,Beginner,205.32
100,50.26,34.39,56.93,54.58,66.67,46.93,Improving,186.72
101,51.82,40.85,60.31,53.72,66.67,40.76,Improving,178.05
102,49.88,42.09,57.31,36.1,66.67,46.93,Improving,176.3
103,42.76,32.82,55.86,34.83,33.33,65.68,Improving,188.25
104,51.62,41.96,42.05,62.25,66.67,52.99,Improving,176.56
105,52.77,58.34,43.73,79.4,33.33,52.99,Improving,157.47
106,41.23,40.99,69.48,40.16,33.33,15.64,Improving,177.84
107,56.22,74.11,51.66,47.55,33.33,65.68,Improving,138.26
108,47.58,52.91,43.32,42.73,66.67,22.01,Improving,164.15
109,62.48,81.8,42.0,67.26,66.67,40.76,Eco-Friendly,130.45
110,50.19,49.7,45.22,33.03,66.67,52.99,Improving,167.59
111,45.77,50.94,41.61,37.64,33.33,65.68,Improving,166.14
112,40.83,41.48,33.52,53.18,33.33,46.93,Improving,177.34
113,42.67,17.04,40.53,41.74,66.67,65.68,Improving,206.0
114,49.95,36.94,54.86,37.0,100.0,15.64,Improving,183.12
115,58.63,51.05,63.85,29.51,100.0,40.76,Improving,165.95
116,53.32,52.57,59.88,40.85,66.67,40.76,Improving,164.5
117,47.71,74.82,41.61,47.24,0.0,65.68,Improving,136.44
118,43.61,32.67,29.89,55.9,66.67,40.76,Improving,188.32
119,45.29,60.4,34.96,17.45,66.67,28.19,Improving,155.05
120,60.25,67.18,49.21,47.12,66.67,65.68,Eco-Friendly,147.42
121,47.41,49.13,56.39,45.22,33.33,52.99,Improving,168.18
122,54.11,58.97,51.36,38.52,66.67,46.93,Improving,156.91
123,37.54,35.21,45.46,66.27,0.0,52.99,Beginner,185.76
124,56.78,54.35,68.8,48.42,66.67,40.76,Improving,162.44
125,53.33,60.4,49.36,51.85,66.67,28.19,Improving,155.05
126,57.45,55.98,58.26,57.57,66.67,46.93,Improving,160.21
127,44.3,39.55,56.64,68.08,33.33,28.19,Improving,179.77
128,44.25,23.2,38.97,54.78,66.67,52.99,Improving,199.66
129,60.28,46.66,74.25,73.71,66.67,46.93,Eco-Friendly,171.52
130,38.91,11.36,58.7,48.27,33.33,65.68,Beginner,209.56
131,47.38,35.27,48.76,38.42,66.67,52.99,Improving,185.57
132,48.08,40.44,30.95,43.81,66.67,65.68,Improving,178.75
133,52.86,47.85,43.85,68.56,66.67,40.76,Improving,169.8
134,41.56,50.41,39.5,50.98,33.33,28.19,Improving,166.76
135,49.39,63.79,45.65,41.7,66.67,10.22,Improving,151.41
136,44.75,38.01,59.93,44.98,33.33,52.99,Improving,182.09
137,41.7,42.98,15.1,19.79,66.67,63.22,Improving,175.29
138,39.81,39.41,48.83,43.65,33.33,33.38,Beginner,179.83
139,54.83,63.28,76.8,45.18,33.33,46.93,Improving,152.2
140,51.65,51.88,63.45,64.61,33.33,46.93,Improving,165.06
141,61.01,81.12,44.7,43.03,66.67,52.99,Eco-Friendly,131.28
142,48.76,37.16,66.62,51.77,33.33,65.68,Improving,183.0
143,49.88,57.27,43.28,55.74,66.67,15.64,Improving,158.9
144,28.23,10.22,55.46,53.03,0.0,40.76,Beginner,209.91
145,53.34,62.31,39.5,70.68,33.33,63.22,Improving,153.12
146,56.39,58.0,50.75,50.38,66.67,52.99,Improving,158.0
147,52.53,27.75,47.47,45.1,100.0,52.99,Improving,194.45
148,54.03,66.68,31.84,42.48,66.67,52.99,Improving,148.09
149,52.44,47.81,62.52,59.7,66.67,22.01,Improving,169.82
150,52.28,36.89,61.03,45.38,66.67,59.1,Improving,183.18
151,46.37,54.5,63.28,62.79,0.0,52.99,Improving,162.34
152,58.65,77.99,16.14,91.22,66.67,33.38,Improving,134.52
153,59.02,63.06,56.23,62.73,66.67,40.76,Improving,152.47
154,58.55,20.07,60.45,77.18,100.0,59.1,Improving,203.05
155,49.28,68.89,43.48,41.39,33.33,46.93,Improving,145.43
156,42.76,48.64,55.42,60.89,0.0,52.99,Improving,169.1
157,39.4,35.45,41.26,39.31,33.33,52.99,Beginner,185.33
158,48.39,51.2,45.06,52.49,33.33,63.22,Improving,165.71
159,48.48,40.72,69.48,71.28,33.33,33.38,Improving,178.13
160,47.13,30.95,72.36,77.99,33.33,33.38,Improving,191.16
161,48.34,57.52,47.77,33.38,33.33,65.68,Improving,158.57
162,43.83,54.62,59.93,36.61,33.33,22.01,Improving,162.25
163,58.3,61.33,43.61,53.3,66.67,65.68,Improving,154.13
164,43.55,55.82,53.3,41.17,33.33,22.01,Improving,160.69
165,50.9,51.73,37.96,43.36,66.67,52.99,Improving,165.25
166,53.69,26.8,53.68,78.21,66.67,65.68,Improving,196.61
167,58.66,59.51,62.15,53.34,66.67,46.93,Improving,156.16
168,40.67,38.57,37.64,46.39,33.33,52.99,Improving,180.96
169,59.54,42.86,57.23,60.79,100.0,40.76,Improving,175.5
170,44.09,57.1,35.69,40.81,33.33,46.93,Improving,159.07
171,44.15,42.73,57.61,40.67,33.33,46.93,Improving,175.81
172,63.87,79.4,83.86,38.11,66.67,28.19,Eco-Friendly,133.51
173,50.37,42.43,39.65,50.11,66.67,59.1,Improving,175.96
174,60.61,60.69,38.26,51.39,100.0,46.93,Eco-Friendly,154.91
175,51.11,57.87,48.95,48.8,66.67,22.01,Improving,158.16
176,61.76,65.1,35.57,47.77,100.0,52.99,Eco-Friendly,150.22
177,37.79,41.44,41.26,67.11,0.0,46.93,Beginner,177.45
178,49.13,41.61,33.17,47.96,66.67,63.22,Improving,177.3
179,38.14,52.76,3.65,52.53,33.33,46.93,Beginner,164.39
180,50.87,78.44,40.81,50.04,33.33,33.38,Improving,134.15
181,41.0,46.82,29.32,55.38,33.33,40.76,Improving,171.28
182,63.23,82.96,46.2,83.86,33.33,65.68,Eco-Friendly,129.6
183,59.87,53.84,82.17,33.93,66.67,59.1,Improving,162.93
184,48.95,61.38,53.49,47.05,33.33,40.76,Improving,154.06
185,46.24,21.79,35.27,21.1,100.0,63.22,Improving,201.43
186,46.61,57.02,19.5,60.55,33.33,65.68,Improving,159.14
187,53.57,50.34,49.62,54.46,66.67,46.93,Improving,166.85
188,48.13,47.55,56.39,28.3,66.67,33.38,Improving,170.13
189,54.34,33.66,70.39,59.24,66.67,52.99,Improving,187.2
190,60.46,46.2,50.68,44.06,100.0,65.68,Eco-Friendly,171.99
191,56.11,59.1,27.41,52.61,100.0,33.38,Improving,156.76
192,57.96,49.62,38.92,55.02,100.0,46.93,Improving,167.7
193,53.7,42.94,51.96,54.82,66.67,59.1,Improving,175.31
194,58.57,71.81,36.66,48.98,100.0,15.64,Improving,142.11
195,41.25,44.54,46.32,46.32,33.33,33.38,Improving,173.79
196,49.0,59.88,47.2,66.14,33.33,33.38,Improving,155.45
197,52.71,65.17,58.83,70.02,33.33,28.19,Improving,150.16
198,46.7,65.04,58.83,43.69,0.0,59.1,Improving,150.31
199,46.66,52.38,47.01,33.52,33.33,65.68,Improving,164.65
200,51.89,73.2,62.73,62.89,0.0,52.99,Improving,139.65
201,50.84,49.29,24.88,45.69,100.0,28.19,Improving,167.91
202,41.45,43.94,48.95,50.56,33.33,28.19,Improving,174.27
203,48.59,58.26,76.09,42.77,0.0,63.22,Improving,157.56
204,50.77,47.2,51.85,52.65,66.67,33.38,Improving,170.68
205,45.46,49.77,71.59,42.39,0.0,65.68,Improving,167.54
206,55.06,46.78,37.8,24.08,100.0,65.68,Improving,171.39
207,43.24,43.07,54.98,63.17,0.0,65.68,Improving,175.25
208,55.46,62.79,46.82,64.67,66.67,28.19,Improving,152.73
209,63.8,70.58,34.26,39.5,100.0,65.68,Eco-Friendly,143.34
210,54.41,65.81,26.93,72.95,66.67,33.38,Improving,149.3
211,51.17,37.27,57.31,54.35,66.67,46.93,Improving,182.93
212,56.15,65.35,46.86,89.78,33.33,46.93,Improving,149.8
213,56.55,56.81,63.85,48.61,66.67,40.76,Improving,159.28
214,37.5,60.98,44.1,28.51,0.0,40.76,Beginner,154.44
215,45.96,43.44,56.39,59.15,33.33,40.76,Improving,174.89
216,46.49,59.19,33.66,80.21,33.33,22.01,Improving,156.55
217,43.76,50.6,34.77,66.34,33.33,33.38,Improving,166.53
218,64.03,54.11,42.94,62.41,100.0,65.68,Eco-Friendly,162.62
219,43.9,58.39,55.78,68.16,0.0,33.38,Improving,157.36
220,53.76,68.08,48.8,21.33,66.67,46.93,Improving,146.06
221,40.52,47.62,25.47,63.11,33.33,33.38,Improving,170.08
222,27.81,28.82,52.76,35.39,0.0,22.01,Beginner,193.49
223,53.63,46.47,68.89,43.07,66.67,40.76,Improving,171.76
224,64.88,73.97,57.27,60.26,66.67,59.1,Eco-Friendly,138.53
225,38.03,41.83,47.47,40.12,33.33,22.01,Beginner,176.86
226,54.0,62.46,48.38,60.45,33.33,65.68,Improving,152.96
227,47.74,42.31,42.39,29.12,66.67,59.1,Improving,176.06
228,47.72,45.97,53.3,45.02,33.33,65.68,Improving,172.21
229,46.52,67.55,31.52,47.81,33.33,40.76,Improving,146.7
230,39.71,28.62,31.03,58.48,33.33,63.22,Beginner,193.56
231,47.95,53.14,47.39,40.07,33.33,65.68,Improving,163.8
232,56.78,68.56,43.85,41.03,66.67,52.99,Improving,145.53
233,49.51,58.04,56.11,61.38,33.33,33.38,Improving,158.0
234,40.98,47.12,22.82,51.09,33.33,52.99,Improving,170.72
235,36.61,31.11,35.21,43.53,33.33,46.93,Beginner,190.55
236,46.75,54.86,62.79,40.4,33.33,33.38,Improving,162.01
237,44.54,47.28,42.26,53.49,66.67,3.65,Improving,170.44
238,55.35,62.25,30.07,56.43,66.67,59.1,Improving,153.19
239,47.76,34.32,50.04,53.41,66.67,40.76,Improving,186.75
240,53.22,46.08,50.45,73.07,66.67,33.38,Improving,172.04
241,51.4,39.98,31.84,65.68,66.67,65.68,Improving,179.28
242,50.52,64.67,60.12,35.92,33.33,46.93,Improving,150.45
243,46.91,33.93,54.15,50.41,66.67,33.38,Improving,187.03
244,36.47,0.0,36.1,53.11,66.67,52.99,Beginner,214.32
245,36.81,42.35,42.98,50.41,0.0,52.99,Beginner,176.0
246,60.27,64.08,52.34,23.56,100.0,46.93,Eco-Friendly,151.16
247,48.44,39.74,65.1,49.02,33.33,63.22,Improving,179.51
248,40.56,44.7,39.41,31.03,33.33,52.99,Improving,173.67
249,46.52,47.7,62.15,40.49,33.33,46.93,Improving,170.06
250,44.28,40.12,38.97,40.76,66.67,33.38,Improving,179.12
251,58.63,51.43,65.87,58.3,66.67,52.99,Improving,165.62
252,61.15,62.95,60.69,65.04,66.67,46.93,Eco-Friendly,152.59
253,62.12,72.14,54.78,74.53,66.67,33.38,Eco-Friendly,141.67
254,53.82,25.33,50.87,66.2,100.0,40.76,Improving,198.3
255,51.42,26.16,65.61,48.46,66.67,65.68,Improving,197.19
256,34.96,27.41,42.73,29.89,33.33,46.93,Beginner,194.75
257,51.08,51.58,52.65,57.06,33.33,65.68,Improving,165.47
258,49.51,30.07,59.1,55.3,66.67,46.93,Improving,192.04
259,46.48,40.16,54.27,34.9,66.67,33.38,Improving,179.1
260,38.42,38.52,26.03,59.19,33.33,40.76,Beginner,181.0
261,51.98,39.84,59.1,58.43,66.67,40.76,Improving,179.36
262,58.88,47.24,63.22,39.65,100.0,40.76,Improving,170.48
263,54.62,45.54,33.93,41.48,100.0,52.99,Improving,172.72
264,48.02,50.11,59.33,86.13,33.33,10.22,Improving,167.1
265,26.97,46.32,27.41,22.42,0.0,28.19,Beginner,171.91
266,43.61,53.68,53.92,38.82,33.33,28.19,Improving,163.25
267,32.26,31.6,40.21,25.61,33.33,28.19,Beginner,189.61
268,39.94,64.25,30.52,63.67,0.0,33.38,Beginner,150.99
269,41.6,31.99,46.08,74.11,33.33,33.38,Improving,189.18
270,44.57,43.03,51.54,75.92,33.33,22.01,Improving,175.26
271,47.9,55.22,39.98,33.32,66.67,33.38,Improving,161.72
272,31.32,27.86,45.06,20.34,33.33,28.19,Beginner,194.42
273,39.11,29.42,46.59,61.94,33.33,33.38,Beginner,192.92
274,46.99,47.74,41.03,46.01,66.67,28.19,Improving,170.04
275,29.5,13.87,46.12,63.0,33.33,0.0,Beginner,208.03
276,49.75,55.74,46.39,66.97,33.33,46.93,Improving,160.69
277,37.76,42.22,63.67,41.61,0.0,40.76,Beginner,176.17
278,49.92,28.51,48.83,62.68,66.67,59.1,Improving,193.7
279,52.3,36.27,59.42,30.16,100.0,33.38,Improving,183.88
280,59.17,48.61,66.48,54.03,66.67,65.68,Improving,169.16
281,48.42,78.9,39.26,71.92,0.0,40.76,Improving,133.93
282,59.81,56.64,68.56,58.21,66.67,46.93,Improving,159.33
283,48.91,58.7,42.77,66.41,33.33,40.76,Improving,157.17
284,56.09,57.48,77.18,26.42,66.67,40.76,Improving,158.59
285,46.43,75.27,26.8,31.92,33.33,46.93,Improving,136.05
286,49.24,72.25,45.81,37.48,33.33,40.76,Improving,141.57
287,50.48,34.0,64.14,28.41,66.67,65.68,Improving,187.03
288,53.78,77.38,58.21,28.72,33.33,52.99,Improving,134.71
289,37.96,36.44,32.6,51.51,33.33,40.76,Beginner,183.66
290,47.3,29.32,41.61,59.33,66.67,52.99,Improving,192.94
291,45.38,71.08,38.47,56.06,0.0,52.99,Improving,142.97
292,54.03,52.42,44.22,60.59,66.67,46.93,Improving,164.63
293,46.2,48.72,54.27,60.4,33.33,33.38,Improving,168.91
294,45.69,29.7,74.53,48.38,33.33,52.99,Improving,192.19
295,46.35,25.47,50.6,60.94,66.67,40.76,Improving,198.25
296,53.68,50.45,50.26,60.31,66.67,40.76,Improving,166.7
297,48.45,53.53,24.57,28.62,66.67,65.68,Improving,163.38
298,54.57,64.92,53.11,40.9,66.67,33.38,Improving,150.38
299,52.38,71.49,64.98,53.88,0.0,65.68,Improving,142.33
300,51.59,71.92,52.53,32.6,33.33,52.99,Improving,141.8
301,34.36,30.34,28.41,39.11,33.33,46.93,Beginner,191.8
302,34.46,34.9,49.55,28.19,0.0,65.68,Beginner,186.12
303,67.54,68.72,32.96,69.84,100.0,65.68,Eco-Friendly,145.49
304,64.59,91.22,43.48,42.18,66.67,59.1,Eco-Friendly,124.18
305,47.69,55.58,49.62,49.25,33.33,46.93,Improving,160.88
306,60.15,74.67,55.3,23.38,66.67,65.68,Eco-Friendly,137.12
307,44.65,31.84,77.18,45.89,33.33,40.76,Improving,189.47
308,40.79,72.03,37.48,49.74,0.0,28.19,Improving,141.72
309,46.65,43.89,66.68,49.1,33.33,40.76,Improving,174.31
310,50.81,64.55,64.61,57.02,33.33,22.01,Improving,150.66
311,42.7,22.22,58.52,76.99,33.33,40.76,Improving,201.23
312,41.01,6.83,55.86,75.12,33.33,65.68,Improving,212.39
313,41.44,31.2,57.06,59.98,33.33,33.38,Improving,190.42
314,56.49,53.8,51.66,26.03,100.0,40.76,Improving,163.03
315,52.48,36.15,60.12,67.78,66.67,40.76,Improving,184.05
316,53.93,52.72,50.0,65.17,66.67,33.38,Improving,164.42
317,56.95,40.26,66.75,80.5,66.67,40.76,Improving,179.01
318,48.29,39.36,36.44,46.66,66.67,59.1,Improving,179.94
319,54.34,38.21,58.26,53.57,66.67,65.68,Improving,181.33
320,64.47,93.17,48.19,81.8,33.33,52.99,Eco-Friendly,115.99
321,52.54,55.7,72.14,45.26,33.33,52.99,Improving,160.75
322,42.63,26.42,58.13,56.39,33.33,52.99,Improving,197.0
323,46.68,53.96,58.52,47.43,33.33,33.38,Improving,162.79
324,44.95,26.93,43.07,46.47,66.67,52.99,Improving,196.44
325,45.43,46.43,47.09,55.86,33.33,46.93,Improving,171.78
326,52.28,32.07,52.26,53.22,100.0,28.19,Improving,189.08
327,39.61,55.3,31.68,38.62,33.33,28.19,Beginner,161.55
328,63.43,56.97,57.69,35.45,100.0,63.22,Eco-Friendly,159.19
329,54.75,56.89,63.17,44.7,66.67,33.38,Improving,159.22
330,22.46,13.14,17.04,53.8,0.0,46.93,Beginner,208.35
331,50.11,73.58,45.46,16.14,33.33,65.68,Improving,139.05
332,53.29,88.64,59.65,20.6,33.33,33.38,Improving,126.06
333,56.84,46.28,50.45,64.55,66.67,65.68,Improving,171.93
334,51.88,49.32,73.71,13.14,66.67,46.93,Improving,167.88
335,41.66,23.91,62.41,29.61,66.67,28.19,Improving,199.16
336,52.88,54.7,54.58,59.47,66.67,22.01,Improving,162.2
337,55.88,56.19,41.21,69.4,66.67,46.93,Improving,159.99
338,53.73,77.18,31.84,63.96,33.33,52.99,Improving,134.76
339,52.61,34.45,48.95,74.67,66.67,52.99,Improving,186.5
340,58.24,69.48,67.93,55.18,33.33,59.1,Improving,144.81
341,64.15,60.84,52.95,42.98,100.0,59.1,Eco-Friendly,154.76
342,43.03,64.79,20.85,51.66,33.33,33.38,Improving,150.44
343,40.22,44.22,62.04,74.97,0.0,22.01,Improving,174.17
344,68.1,79.66,51.43,52.04,100.0,40.76,Eco-Friendly,133.19
345,44.92,25.89,60.84,23.01,100.0,10.22,Improving,197.56
346,61.26,61.58,51.43,62.1,66.67,65.68,Eco-Friendly,153.72
347,48.46,29.89,65.68,46.04,66.67,40.76,Improving,192.07
348,50.4,35.51,54.86,62.2,66.67,40.76,Improving,185.28
349,39.27,45.06,50.11,27.05,33.33,33.38,Beginner,173.38
350,52.75,15.64,31.84,78.9,100.0,65.68,Improving,206.31
351,40.08,41.35,46.47,37.32,33.33,40.76,Improving,177.52
352,57.42,70.98,64.25,50.64,66.67,15.64,Improving,143.02
353,47.84,45.18,49.25,58.34,66.67,15.64,Improving,173.22
354,49.52,40.81,49.36,65.61,66.67,28.19,Improving,178.09
355,53.05,47.09,33.17,22.82,100.0,59.1,Improving,170.8
356,50.34,31.36,49.62,70.88,66.67,46.93,Improving,190.3
357,43.48,39.06,59.56,40.99,33.33,46.93,Improving,180.28
358,59.28,56.15,42.6,33.66,100.0,59.1,Improving,160.06
359,50.64,59.01,45.3,49.06,33.33,65.68,Improving,156.9
360,46.74,67.48,73.45,56.68,0.0,22.01,Improving,146.93
361,43.38,37.9,43.48,70.2,33.33,40.76,Improving,182.15
362,53.31,51.24,62.31,27.97,66.67,52.99,Improving,165.69
363,48.69,53.07,32.96,57.4,66.67,28.19,Improving,163.94
364,52.29,64.31,57.31,33.45,33.33,65.68,Improving,150.87
365,47.66,47.01,40.58,47.35,66.67,33.38,Improving,170.84
366,33.56,41.52,31.36,33.17,0.0,65.68,Beginner,177.32
367,44.72,66.75,40.9,24.88,33.33,40.76,Improving,148.08
368,61.76,84.9,57.31,61.99,33.33,59.1,Eco-Friendly,129.03
369,59.03,40.94,52.65,44.9,100.0,63.22,Improving,177.94
370,49.51,37.85,75.27,62.62,33.33,46.93,Improving,182.21
371,42.87,32.45,34.26,65.1,33.33,65.68,Improving,188.59
372,67.64,81.45,43.94,67.93,100.0,28.19,Eco-Friendly,130.88
373,42.99,54.78,43.07,53.14,33.33,22.01,Improving,162.15
374,39.04,32.52,44.26,51.02,33.33,40.76,Beginner,188.4
375,55.18,51.17,45.26,50.6,66.67,65.68,Improving,165.8
376,48.58,44.26,44.66,53.53,66.67,33.38,Improving,174.14
377,46.88,52.0,30.52,31.99,66.67,46.93,Improving,165.01
378,53.72,46.24,63.96,58.13,66.67,33.38,Improving,171.97
379,48.47,49.47,35.98,72.71,33.33,59.1,Improving,167.77
380,52.46,52.8,75.12,46.55,33.33,52.99,Improving,164.38
381,54.82,29.98,59.93,58.92,100.0,33.38,Improving,192.06
382,64.31,76.44,18.55,52.11,100.0,65.68,Eco-Friendly,135.34
383,63.97,49.96,68.01,55.62,100.0,46.93,Eco-Friendly,167.41
384,41.27,36.5,62.89,26.93,33.33,46.93,Improving,183.62
385,53.52,37.43,48.3,43.44,100.0,40.76,Improving,182.86
386,47.31,52.65,42.6,36.21,66.67,28.19,Improving,164.47
387,48.94,38.32,36.38,65.29,66.67,46.93,Improving,181.17
388,40.83,23.38,41.39,66.68,33.33,59.1,Improving,199.59
389,47.71,50.26,38.26,49.44,66.67,28.19,Improving,166.91
390,45.4,57.91,61.28,27.29,33.33,33.38,Improving,158.09
391,44.32,51.66,37.48,34.52,33.33,63.22,Improving,165.37
392,59.79,80.5,58.83,36.89,66.67,33.38,Improving,132.9
393,45.02,57.31,39.65,54.86,33.33,33.38,Improving,158.79
394,54.15,63.45,48.95,51.73,66.67,28.19,Improving,152.0
395,38.83,43.36,33.32,61.28,33.33,22.01,Beginner,175.0
396,46.29,57.23,38.57,57.52,33.33,40.76,Improving,159.0
397,44.81,21.1,63.45,30.07,66.67,52.99,Improving,202.23
398,45.05,16.61,82.96,52.95,33.33,59.1,Improving,206.24
399,65.48,64.37,68.97,67.85,66.67,59.1,Eco-Friendly,150.73
400,49.75,33.73,41.52,59.84,100.0,15.64,Improving,187.19
401,42.12,59.24,57.18,39.16,0.0,46.93,Improving,156.39
402,52.43,71.38,44.9,74.25,33.33,28.19,Improving,142.4
